,,Fall 2012,Fall 2012,Fall 2012,Fall 2012,Fall 2012,Winter 2013,Winter 2013,Winter 2013,Winter 2013,Winter 2013,Spring 2013,Spring 2013,Spring 2013,Spring 2013,Spring 2013,Summer 2013,Summer 2013,Summer 2013,Summer 2013,Summer 2013,Fall 2013,Fall 2013,Fall 2013,Fall 2013,Fall 2013,Winter 2014,Winter 2014,Winter 2014,Winter 2014,Winter 2014,Spring 2014,Spring 2014,Spring 2014,Spring 2014,Spring 2014,Summer 2014,Summer 2014,Summer 2014,Summer 2014,Summer 2014,Fall 2014,Fall 2014,Fall 2014,Fall 2014,Fall 2014,Winter 2015,Winter 2015,Winter 2015,Winter 2015,Winter 2015,Spring 2015,Spring 2015,Spring 2015,Spring 2015,Spring 2015,Summer 2015,Summer 2015,Summer 2015,Summer 2015,Summer 2015,Fall 2015,Fall 2015,Fall 2015,Fall 2015,Fall 2015,Winter 2016,Winter 2016,Winter 2016,Winter 2016,Winter 2016,Spring 2016,Spring 2016,Spring 2016,Spring 2016,Spring 2016,Summer 2016,Summer 2016,Summer 2016,Summer 2016,Summer 2016,Fall 2016,Fall 2016,Fall 2016,Fall 2016,Fall 2016,Winter 2017,Winter 2017,Winter 2017,Winter 2017,Winter 2017,Spring 2017,Spring 2017,Spring 2017,Spring 2017,Spring 2017,Summer 2017,Summer 2017,Summer 2017,Summer 2017,Summer 2017,Fall 2017,Fall 2017,Fall 2017,Fall 2017,Fall 2017,Winter 2018,Winter 2018,Winter 2018,Winter 2018,Winter 2018,Spring 2018,Spring 2018,Spring 2018,Spring 2018,Spring 2018,Summer 2018,Summer 2018,Summer 2018,Summer 2018,Summer 2018,Fall 2018,Fall 2018,Fall 2018,Fall 2018,Fall 2018,Winter 2019,Winter 2019,Winter 2019,Winter 2019,Winter 2019,Spring 2019,Spring 2019,Spring 2019,Spring 2019,Spring 2019,Summer 2019,Summer 2019,Summer 2019,Summer 2019,Summer 2019,Fall 2019,Fall 2019,Fall 2019,Fall 2019,Fall 2019,Winter 2020,Winter 2020,Winter 2020,Winter 2020,Winter 2020,Spring 2020,Spring 2020,Spring 2020,Spring 2020,Spring 2020,Summer 2020,Summer 2020,Summer 2020,Summer 2020,Summer 2020,Fall 2020,Fall 2020,Fall 2020,Fall 2020,Fall 2020,Winter 2021,Winter 2021,Winter 2021,Winter 2021,Winter 2021,Spring 2021,Spring 2021,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Fall 2021,Fall 2021,Winter 2022,Winter 2022,Winter 2022,Winter 2022,Winter 2022,Spring 2022,Spring 2022,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Fall 2022,Fall 2022,Winter 2023,Winter 2023,Winter 2023,Winter 2023,Winter 2023,Spring 2023,Spring 2023,Spring 2023,Spring 2023,Spring 2023
College Name,Special Characteristic,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES
East LA,"ASEM - Achievement in a Science, Engineering, or Mathematics               ",59,160,23.36,74,0.74,1,0,0.00,1,0.00,62,163,22.71,73,1.32,,,,,,47,134,18.46,72,1.04,,,,,,41,120,17.74,49,0.96,,,,,,28,76,10.56,40,0.71,,,,,,30,89,12.71,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0.95,0,0.00,,,,,,15,43,6.67,19,2.12,2,3,0.48,2,0.02,,,,,,1,1,0.17,2,0.07,10,28,4.36,0,0.00,2,3,0.55,0,0.00,,,,,,,,,,,5,16,2.99,0,0.00,,,,,,,,,,,,,,,,1,2,0.27,0,0.00,,,,,,,,,,,,,,,,21,68,10.66,28,1.06
East LA,CAFYES - Cooperating Agencies Foster Youth Educational Support             ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,20,2.12,5,0.13,33,117,12.15,13,0.54,1,2,0.22,0,0.00,35,127,12.82,6,0.12,,,,,,10,35,4.13,6,0.07,,,,,,44,175,21.03,38,0.72,,,,,,61,230,26.39,64,1.90,,,,,,52,182,22.20,67,1.49,,,,,,56,179,21.51,55,2.07,,,,,,45,154,19.34,0,0.00,12,21,2.29,0,0.00,33,98,11.21,4,0.05,,,,,,21,68,8.46,0,0.00,2,2,0.31,0,0.00,24,74,8.88,4,0.18,,,,,,12,37,4.55,1,0.00,3,5,0.58,1,0.00,14,43,5.15,3,0.08,,,,,,21,66,7.86,6,0.03
East LA,CalWORKs - California Work Opportunity & Responsibility to Kids            ,547,"1,651",178.26,521,13.58,207,200,26.85,113,1.69,556,"1,697",184.00,419,10.14,299,370,39.86,205,4.34,539,"1,669",180.05,494,11.76,243,243,26.64,119,2.36,545,"1,687",181.67,400,10.37,340,448,48.42,214,3.61,556,"1,606",178.25,562,91.60,246,280,31.04,170,23.43,487,"1,504",167.39,53,2.70,300,424,47.40,254,32.50,481,"1,386",150.16,381,11.57,234,261,29.56,137,2.64,438,"1,281",140.53,494,32.11,252,330,37.56,207,7.55,425,"1,195",132.55,446,31.99,200,218,28.43,108,1.79,435,"1,254",139.45,138,7.74,230,320,35.84,121,4.03,340,985,121.86,381,10.57,149,180,21.18,55,0.96,323,888,107.67,379,13.91,182,254,30.46,156,5.83,304,848,100.32,325,11.92,131,143,16.23,77,2.03,285,776,93.16,316,20.52,159,204,24.90,105,3.61,290,824,98.89,311,16.70,101,123,14.16,40,1.34,247,671,85.13,49,3.72,121,172,20.62,7,0.57,192,550,66.48,19,1.52,67,86,10.13,1,0.15,155,438,56.67,5,0.44,79,110,13.50,9,0.57,143,354,45.78,15,1.01,60,76,8.39,9,0.60,143,378,47.79,41,1.57,50,69,8.24,11,0.47,178,482,56.95,51,1.88,70,98,10.46,10,0.43,187,519,63.15,91,3.08
East LA,CARE - Cooperative Agencies Resources for Education                        ,49,171,17.63,58,1.36,,,,,,85,322,33.98,75,1.50,,,,,,3,12,1.14,1,0.01,,,,,,,,,,,,,,,,58,202,22.88,64,8.33,,,,,,66,243,27.53,2,0.27,,,,,,71,271,27.84,67,1.86,,,,,,69,266,28.45,106,6.63,,,,,,90,329,33.19,116,7.38,,,,,,81,288,30.11,31,1.43,,,,,,69,257,31.20,126,2.97,,,,,,71,271,31.96,97,3.40,,,,,,78,289,33.61,113,3.34,,,,,,67,245,29.52,119,4.58,,,,,,67,254,28.81,103,3.96,,,,,,65,245,28.40,11,0.74,32,53,5.52,0,0.00,29,114,13.06,3,0.03,,,,,,27,97,12.56,0,0.00,3,5,0.79,2,0.00,22,79,9.78,1,0.00,,,,,,20,81,10.10,7,0.27,10,17,1.92,1,0.00,28,105,11.66,10,0.18,,,,,,34,129,14.99,31,0.49
East LA,CCAP - College and Career Access Pathways                                  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,742","2,027",220.17,10,1.18,,,,,,"1,566","1,892",206.31,6,0.41,,,,,,"1,929","2,128",226.10,13,1.70,,,,,,"2,560","2,904",297.09,24,0.90,,,,,,"2,378","2,576",266.34,80,4.40,,,,,,"2,882","3,165",326.89,44,0.60
East LA,DSPS - Disabled Students Programs & Services                               ,756,"1,855",203.05,712,22.62,191,176,23.60,95,2.26,766,"2,015",209.06,589,22.38,218,243,26.29,126,3.29,780,"1,916",203.75,811,32.01,169,159,16.46,99,2.33,711,"1,698",180.85,648,22.26,241,266,28.18,180,4.68,874,"2,042",217.50,885,35.16,208,201,19.89,132,5.62,852,"2,144",232.26,269,19.41,300,360,36.94,210,7.56,925,"2,249",237.93,707,23.15,186,196,21.48,96,2.34,812,"1,926",210.37,797,29.70,273,324,34.45,188,5.77,"1,029","2,380",248.28,799,35.25,209,198,23.95,109,2.72,787,"1,764",193.44,355,17.35,245,259,26.93,129,3.28,816,"1,928",229.75,819,22.22,131,138,16.48,78,1.45,845,"1,993",246.47,"1,082",43.38,310,381,41.53,221,5.50,982,"2,391",291.05,"1,364",46.66,111,119,12.75,70,0.99,849,"1,975",244.47,"1,102",48.54,360,422,44.91,271,6.33,952,"2,375",291.38,"1,343",61.15,184,216,24.10,86,1.29,646,"1,530",197.43,229,8.09,199,275,33.93,12,0.85,494,"1,223",150.74,25,1.73,124,136,15.80,18,0.42,545,"1,296",171.04,43,1.61,207,299,37.27,23,0.55,532,"1,307",172.18,57,1.72,158,178,23.03,18,0.36,611,"1,407",178.84,267,5.86,245,329,38.04,81,1.69,858,"2,259",275.72,335,7.86,166,194,22.52,38,0.90,826,"2,007",248.75,628,18.54
