,,Fall 2012,Fall 2012,Fall 2012,Fall 2012,Fall 2012,Winter 2013,Winter 2013,Winter 2013,Winter 2013,Winter 2013,Spring 2013,Spring 2013,Spring 2013,Spring 2013,Spring 2013,Summer 2013,Summer 2013,Summer 2013,Summer 2013,Summer 2013,Fall 2013,Fall 2013,Fall 2013,Fall 2013,Fall 2013,Winter 2014,Winter 2014,Winter 2014,Winter 2014,Winter 2014,Spring 2014,Spring 2014,Spring 2014,Spring 2014,Spring 2014,Summer 2014,Summer 2014,Summer 2014,Summer 2014,Summer 2014,Fall 2014,Fall 2014,Fall 2014,Fall 2014,Fall 2014,Winter 2015,Winter 2015,Winter 2015,Winter 2015,Winter 2015,Spring 2015,Spring 2015,Spring 2015,Spring 2015,Spring 2015,Summer 2015,Summer 2015,Summer 2015,Summer 2015,Summer 2015,Fall 2015,Fall 2015,Fall 2015,Fall 2015,Fall 2015,Winter 2016,Winter 2016,Winter 2016,Winter 2016,Winter 2016,Spring 2016,Spring 2016,Spring 2016,Spring 2016,Spring 2016,Summer 2016,Summer 2016,Summer 2016,Summer 2016,Summer 2016,Fall 2016,Fall 2016,Fall 2016,Fall 2016,Fall 2016,Winter 2017,Winter 2017,Winter 2017,Winter 2017,Winter 2017,Spring 2017,Spring 2017,Spring 2017,Spring 2017,Spring 2017,Summer 2017,Summer 2017,Summer 2017,Summer 2017,Summer 2017,Fall 2017,Fall 2017,Fall 2017,Fall 2017,Fall 2017,Winter 2018,Winter 2018,Winter 2018,Winter 2018,Winter 2018,Spring 2018,Spring 2018,Spring 2018,Spring 2018,Spring 2018,Summer 2018,Summer 2018,Summer 2018,Summer 2018,Summer 2018,Fall 2018,Fall 2018,Fall 2018,Fall 2018,Fall 2018,Winter 2019,Winter 2019,Winter 2019,Winter 2019,Winter 2019,Spring 2019,Spring 2019,Spring 2019,Spring 2019,Spring 2019,Summer 2019,Summer 2019,Summer 2019,Summer 2019,Summer 2019,Fall 2019,Fall 2019,Fall 2019,Fall 2019,Fall 2019,Winter 2020,Winter 2020,Winter 2020,Winter 2020,Winter 2020,Spring 2020,Spring 2020,Spring 2020,Spring 2020,Spring 2020,Summer 2020,Summer 2020,Summer 2020,Summer 2020,Summer 2020,Fall 2020,Fall 2020,Fall 2020,Fall 2020,Fall 2020,Winter 2021,Winter 2021,Winter 2021,Winter 2021,Winter 2021,Spring 2021,Spring 2021,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Fall 2021,Fall 2021,Winter 2022,Winter 2022,Winter 2022,Winter 2022,Winter 2022,Spring 2022,Spring 2022,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Fall 2022,Fall 2022,Winter 2023,Winter 2023,Winter 2023,Winter 2023,Winter 2023,Spring 2023,Spring 2023,Spring 2023,Spring 2023,Spring 2023
East LA,EOPS - Extended Opportunity Programs & Services                            ,"1,287","4,886",544.13,"1,344",21.09,,,,,,"1,243","4,775",527.83,978,16.40,,,,,,"1,298","4,910",541.97,"1,312",23.66,,,,,,"1,289","4,872",543.94,"1,071",19.45,,,,,,"1,139","4,300",473.22,981,25.39,,,,,,"1,107","4,195",474.00,28,2.71,,,,,,"1,222","4,633",505.14,890,16.51,,,,,,964,"3,577",404.77,873,19.26,,,,,,"1,410","5,161",566.07,949,22.78,1,1,0.18,0,0.00,"1,178","4,466",491.35,201,6.57,,,,,,"1,537","5,704",705.78,"1,666",42.01,,,,,,"1,409","5,225",657.62,"1,620",46.13,,,,,,"1,724","6,606",818.57,"2,180",58.23,,,,,,"1,536","5,783",725.27,"1,939",50.49,,,,,,"1,856","7,246",896.29,"2,439",61.42,,,,,,"1,496","5,609",699.23,53,1.76,154,296,34.34,1,0.15,"1,152","4,304",540.17,62,2.64,,,,,,"1,020","3,671",479.80,14,0.88,119,221,26.20,12,0.69,770,"2,851",359.55,60,1.11,,,,,,721,"2,577",324.19,219,2.69,260,494,55.69,52,0.77,859,"3,251",397.57,234,5.34,,,,,,797,"2,893",368.84,525,11.76
East LA,First Generation                                                           ,,,,,,,,,,,45,58,6.38,27,1.26,"1,099","1,273",138.13,442,16.86,"3,758","8,615",906.37,"1,378",47.83,"1,336","1,365",144.53,261,4.31,"4,684","11,342","1,225.35","1,444",43.51,"3,581","4,149",453.93,"1,274",62.92,"7,769","19,710","2,121.79","3,159",106.87,"2,785","2,971",328.59,861,22.12,"8,672","21,597","2,388.90",569,41.06,"5,302","6,272",705.20,"2,101",132.84,"10,688","26,120","2,889.49","3,966",131.58,"3,909","4,336",487.81,998,20.40,"11,131","26,993","3,036.23","4,574",146.59,"6,556","7,067",797.24,"2,736",253.74,"12,942","30,134","3,371.29","4,988",201.39,"4,299","4,657",575.76,"1,118",25.90,"12,286","28,688","3,237.72","2,071",122.69,1,1,0.10,0,0.00,"5,585","9,623","1,150.66","1,828",67.32,"1,052","1,153",131.79,263,9.79,"6,710","11,503","1,383.12","2,370",92.38,"6,079","7,022",825.17,"2,929",97.55,"13,827","30,074","3,708.93","7,132",217.68,"3,796","4,142",465.01,"1,283",38.23,"12,748","27,066","3,383.98","6,190",165.03,"6,619","7,924",914.81,"2,712",88.59,"14,469","32,300","4,003.12","7,355",215.71,"3,982","4,553",523.33,"1,023",25.67,"13,252","29,089","3,645.21","1,017",60.45,"6,684","8,683","1,069.08",825,65.12,"13,121","29,333","3,705.85","1,322",103.28,"4,632","5,472",664.88,614,29.57,"12,275","25,870","3,381.16","1,069",80.98,"6,604","8,669","1,076.69",949,60.30,"12,193","26,155","3,362.57","1,037",68.35,"3,619","4,206",506.56,424,23.73,"10,630","21,804","2,768.08","1,758",80.42,"6,370","6,947",835.24,"1,960",262.75,"11,719","26,002","3,222.09","1,827",87.73,"4,293","5,187",601.68,462,26.31,"11,643","24,264","3,021.79","2,723",98.99
East LA,Formerly Incarcerated                                                      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0.38,0,0.00,,,,,,,,,,,,,,,,42,55,6.27,22,0.34,125,307,37.03,80,3.21,77,92,10.44,23,0.44,154,398,47.74,13,0.38,144,203,23.81,3,0.17,222,500,60.48,10,0.72,103,129,14.68,8,0.36,200,483,58.88,8,0.34,139,200,23.70,8,0.21,247,504,60.59,13,0.27,66,91,10.21,1,0.00,171,353,44.38,47,1.43,127,184,20.75,20,0.42,281,669,78.82,51,1.30,146,194,21.86,12,0.16,284,689,82.42,126,2.80
East LA,Foster Youth                                                               ,127,297,31.91,51,1.26,49,51,6.70,10,0.20,199,525,55.09,65,1.49,110,137,15.25,43,1.01,265,723,77.82,128,3.92,96,95,10.87,27,0.41,303,832,87.61,125,3.39,163,220,24.02,69,1.35,338,883,94.74,157,6.99,120,130,14.11,42,0.58,339,877,95.57,21,1.74,165,223,23.40,81,3.30,308,759,83.81,125,2.40,117,129,14.38,32,0.36,298,775,84.50,133,2.74,160,213,23.50,59,0.82,321,816,88.12,148,3.92,126,143,17.09,31,0.29,302,771,80.87,33,1.04,152,197,22.26,39,0.86,224,640,77.86,130,2.18,81,90,10.47,24,0.25,200,543,66.65,111,2.05,125,172,19.39,51,1.19,231,628,74.74,173,3.72,87,104,11.73,34,0.32,209,529,64.24,157,4.02,114,141,16.08,33,0.77,222,571,68.69,145,4.59,102,119,13.87,33,0.65,209,550,66.94,3,0.17,122,179,20.86,17,0.87,285,688,79.87,14,0.70,114,137,15.68,6,0.21,257,573,72.03,8,0.62,132,175,21.72,8,0.72,239,495,60.77,20,0.95,64,79,9.38,1,0.03,193,367,43.67,46,1.41,97,123,13.63,20,1.53,263,597,70.19,44,1.51,88,124,13.97,9,0.33,251,532,63.01,77,1.49
East LA,Having Cultural Barriers To Employment                                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,19,2.40,4,0.11,,,,,,,,,,,,,,,,236,304,36.93,94,2.75,733,"2,082",268.02,575,18.46,382,490,56.43,110,3.45,987,"2,756",349.30,58,2.93,883,"1,269",156.33,83,6.99,"1,501","3,901",493.40,108,10.83,575,723,85.01,81,3.44,"1,170","2,884",375.53,126,10.86,716,"1,015",124.38,122,7.95,"1,302","3,142",409.15,175,12.01,374,466,56.15,49,2.20,929,"2,203",282.72,258,9.23,571,811,95.18,95,3.97,"1,183","2,945",361.23,294,9.63,467,592,67.91,68,2.94,957,"2,303",285.59,361,12.72
East LA,Homeless                                                                   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0.76,3,0.09,1,1,0.10,0,0.00,1,2,0.21,2,0.02,2,3,0.24,0,0.00,1,5,0.52,3,0.17,3,3,0.31,4,0.04,5,15,1.79,0,0.00,3,3,0.34,0,0.00,6,12,1.79,0,0.00,3,4,0.62,0,0.00,4,5,0.63,0,0.00,1,1,0.10,0,0.00,4,10,1.38,0,0.00,,,,,,3,6,0.62,0,0.00,1,1,0.10,0,0.00,3,4,0.41,0,0.00,,,,,,1,1,0.10,0,0.00
East LA,Incarcerated                                                               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.04,0,0.00,,,,,,3,3,0.31,0,0.00,,,,,,4,4,0.41,0,0.00
East LA,Long-term Unemployed                                                       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,36,4.44,8,0.06,,,,,,,,,,,,,,,,573,812,96.00,222,4.49,"1,808","5,293",673.27,"1,256",30.87,942,"1,205",137.98,238,3.75,"2,267","6,414",809.64,89,3.81,"1,978","2,846",347.90,105,6.69,"4,023","10,801","1,366.05",162,15.07,"1,608","2,093",252.95,116,4.15,"3,204","8,087","1,055.23",128,10.80,"1,956","2,920",357.66,131,7.21,"3,621","9,392","1,211.37",209,10.86,"1,055","1,363",161.88,78,2.47,"2,190","5,624",720.92,377,8.98,"1,365","1,976",234.84,179,7.49,"2,863","7,887",974.36,484,12.78,"1,155","1,518",174.80,94,3.52,"2,269","5,948",736.69,642,15.42
East LA,"MESA - Mathematics, Engineering, and Science Achievement                   ",275,868,121.34,328,3.61,,,,,,272,797,114.15,263,3.08,,,,,,272,782,116.93,354,5.95,,,,,,261,736,106.08,242,3.35,,,,,,193,585,85.34,229,4.41,,,,,,178,541,82.61,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0.62,3,0.04,4,9,1.38,7,0.06,3,2,0.32,3,0.01,108,321,50.55,175,9.51,1,1,0.17,1,0.01,,,,,,10,9,1.19,13,0.03,113,336,51.64,0,0.00,4,7,1.00,0,0.00,,,,,,,,,,,33,98,16.43,0,0.00,,,,,,,,,,,,,,,,19,38,6.86,4,0.02,,,,,,2,5,0.96,2,0.18,,,,,,101,301,47.23,102,4.51
East LA,"Military (Active Duty, Active Reserve, National Guard)                     ",,,,,,,,,,,,,,,,1,1,0.13,0,0.00,,,,,,1,1,0.10,0,0.00,5,9,0.92,1,0.00,11,10,1.14,3,0.17,27,53,5.34,7,0.16,13,13,1.57,2,0.04,35,83,8.87,1,0.02,12,14,1.62,1,0.00,32,79,10.66,5,0.20,15,20,1.98,3,0.01,39,94,15.18,15,0.18,20,27,7.37,5,0.11,40,93,13.08,11,0.20,19,21,2.59,3,0.04,44,95,17.45,2,0.01,18,21,2.24,3,0.03,17,42,5.29,6,0.12,2,3,0.31,0,0.00,4,9,1.43,3,0.02,38,51,5.36,15,0.51,64,163,19.88,33,0.99,30,41,4.16,12,0.35,50,127,17.15,28,0.53,40,59,6.56,7,0.18,79,173,20.99,32,0.91,31,39,4.26,6,0.24,82,179,22.45,2,0.12,44,62,7.28,0,0.00,79,157,21.76,1,0.08,38,53,6.32,1,0.00,88,188,26.28,0,0.00,52,75,9.09,1,0.05,83,176,23.93,3,0.02,31,46,5.24,1,0.01,79,163,20.69,10,0.08,47,74,8.02,7,0.18,83,207,25.82,10,0.50,45,65,7.35,1,0.04,96,220,27.30,23,0.34
East LA,Puente                                                                     ,35,142,12.34,23,0.21,,,,,,,,,,,,,,,,35,144,12.61,38,0.36,,,,,,41,141,14.24,35,0.41,,,,,,37,140,12.66,37,0.30,,,,,,36,126,13.21,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,20,2.25,5,0.06,,,,,,85,280,33.51,121,3.48,,,,,,,,,,,,,,,,1,4,0.69,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East LA,Received Services/Support through Basic Needs Center                       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,29,3.21,8,0.54,514,"1,533",192.30,306,14.31,74,105,12.37,6,0.15,826,"2,544",327.09,651,19.34
East LA,Seasonal Farm Worker                                                       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,15,1.47,3,0.01,19,54,6.14,13,0.61,5,6,0.68,0,0.00,39,118,15.41,30,0.59,29,42,4.94,10,0.29,49,141,18.36,45,1.14,10,15,1.50,2,0.00,32,72,9.57,5,0.13,28,40,4.99,4,0.18,66,158,20.10,2,0.17,22,29,3.55,0,0.00,47,115,13.82,4,0.11,31,38,4.38,7,0.34,56,113,13.05,3,0.07,14,22,2.66,1,0.01,37,77,9.28,16,0.43,21,31,3.27,3,0.05,65,145,17.13,11,0.33,17,21,2.23,2,0.09,46,89,10.68,23,0.79
East LA,Special Admit                                                              ,"1,216","1,175",125.35,340,40.05,93,19,2.57,78,8.23,"1,484","1,300",132.60,426,66.71,"2,597",339,38.36,"2,350",480.69,"1,492","1,159",127.30,559,46.29,61,22,2.30,46,5.13,"1,620","1,307",145.88,539,55.78,"2,583",503,58.33,"2,189",479.55,"2,034","1,856",194.99,501,39.04,85,32,3.32,61,6.92,"2,699","2,708",282.74,445,45.83,"3,201",784,81.67,"2,641",582.21,"2,879","2,445",259.10,789,75.62,191,54,5.35,145,13.64,"2,856","2,688",277.84,560,55.21,"4,139",790,87.53,"3,596",712.06,"3,712","3,295",351.31,769,74.51,188,66,6.96,130,15.12,"4,598","4,445",502.14,524,56.38,"5,002","1,749",190.42,"3,852",764.91,"3,561","3,311",335.20,491,37.11,346,11,1.37,337,31.16,"2,771","2,706",279.21,206,12.35,"1,084","1,196",138.50,151,1.86,"4,450","5,172",548.90,121,3.28,58,66,7.40,12,0.06,"4,000","4,551",492.41,107,1.62,"1,346","1,516",176.81,155,2.44,"4,290","5,052",528.05,94,1.74,112,137,15.30,9,0.18,"3,926","4,568",496.15,4,0.16,"1,017","1,256",145.44,8,0.49,"2,481","3,046",337.62,22,2.61,187,234,26.59,1,0.07,"2,475","3,136",352.68,15,0.91,"1,227","1,553",180.23,17,0.18,"2,252","2,684",293.78,39,3.85,138,179,20.38,4,0.06,"2,730","3,126",322.84,50,1.54,"1,086","1,298",147.97,54,13.93,"2,749","3,046",319.71,99,6.30,149,173,18.90,9,0.99,"3,207","3,580",377.48,67,1.04
East LA,Umoja                                                                      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,21,2.88,0,0.00,,,,,,,,,,,,,,,,28,141,20.39,6,0.11,,,,,,61,289,31.51,19,0.16
East LA,Veteran                                                                    ,"1,267","2,734",299.88,474,14.50,301,313,44.58,76,1.20,"1,068","2,712",289.34,325,8.53,475,535,58.89,168,7.71,"1,024","2,488",256.35,415,13.21,334,339,37.00,59,1.18,901,"2,209",241.55,292,8.69,433,520,57.17,163,5.42,877,"2,005",220.54,340,11.13,296,325,39.79,83,2.61,818,"2,045",210.84,28,2.76,392,515,55.28,151,5.95,787,"1,853",203.94,249,5.03,305,353,41.08,72,1.16,762,"1,894",219.00,322,6.92,412,549,62.30,129,5.29,796,"1,729",222.23,269,7.64,323,352,38.03,62,0.85,752,"1,851",208.33,69,3.08,312,431,49.64,69,2.52,70,173,22.92,23,0.41,9,9,0.89,0,0.00,35,80,10.03,7,0.22,312,410,36.95,62,1.38,591,"1,113",125.87,219,6.97,173,200,20.03,39,0.43,525,"1,039",128.07,187,6.41,234,321,33.19,62,1.94,503,982,115.00,187,6.33,176,206,18.95,45,1.08,521,990,113.85,7,0.33,201,285,30.48,1,0.17,409,761,101.48,1,0.02,129,160,18.70,6,0.06,429,749,99.03,4,0.37,246,337,28.60,5,0.16,380,681,95.68,12,0.12,82,105,13.40,9,0.05,353,631,89.77,43,1.34,218,313,24.68,24,0.60,353,664,91.56,44,1.35,139,172,19.25,13,0.25,415,711,94.18,73,1.57
