,,Fall 2012,Fall 2012,Fall 2012,Fall 2012,Fall 2012,Spring 2013,Spring 2013,Spring 2013,Spring 2013,Spring 2013,Summer 2013,Summer 2013,Summer 2013,Summer 2013,Summer 2013,Fall 2013,Fall 2013,Fall 2013,Fall 2013,Fall 2013,Spring 2014,Spring 2014,Spring 2014,Spring 2014,Spring 2014,Summer 2014,Summer 2014,Summer 2014,Summer 2014,Summer 2014,Fall 2014,Fall 2014,Fall 2014,Fall 2014,Fall 2014,Spring 2015,Spring 2015,Spring 2015,Spring 2015,Spring 2015,Summer 2015,Summer 2015,Summer 2015,Summer 2015,Summer 2015,Fall 2015,Fall 2015,Fall 2015,Fall 2015,Fall 2015,Spring 2016,Spring 2016,Spring 2016,Spring 2016,Spring 2016,Summer 2016,Summer 2016,Summer 2016,Summer 2016,Summer 2016,Fall 2016,Fall 2016,Fall 2016,Fall 2016,Fall 2016,Winter 2017,Winter 2017,Winter 2017,Winter 2017,Winter 2017,Spring 2017,Spring 2017,Spring 2017,Spring 2017,Spring 2017,Summer 2017,Summer 2017,Summer 2017,Summer 2017,Summer 2017,Fall 2017,Fall 2017,Fall 2017,Fall 2017,Fall 2017,Winter 2018,Winter 2018,Winter 2018,Winter 2018,Winter 2018,Spring 2018,Spring 2018,Spring 2018,Spring 2018,Spring 2018,Summer 2018,Summer 2018,Summer 2018,Summer 2018,Summer 2018,Fall 2018,Fall 2018,Fall 2018,Fall 2018,Fall 2018,Winter 2019,Winter 2019,Winter 2019,Winter 2019,Winter 2019,Spring 2019,Spring 2019,Spring 2019,Spring 2019,Spring 2019,Summer 2019,Summer 2019,Summer 2019,Summer 2019,Summer 2019,Fall 2019,Fall 2019,Fall 2019,Fall 2019,Fall 2019,Winter 2020,Winter 2020,Winter 2020,Winter 2020,Winter 2020,Spring 2020,Spring 2020,Spring 2020,Spring 2020,Spring 2020,Summer 2020,Summer 2020,Summer 2020,Summer 2020,Summer 2020,Fall 2020,Fall 2020,Fall 2020,Fall 2020,Fall 2020,Winter 2021,Winter 2021,Winter 2021,Winter 2021,Winter 2021,Spring 2021,Spring 2021,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Fall 2021,Fall 2021,Spring 2022,Spring 2022,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Fall 2022,Fall 2022,Spring 2023,Spring 2023,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Summer 2023,Summer 2023
College Name,Special Characteristic,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES
Pasadena,A2MEND - African American Male Education Network and Development           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,12,1.50,0,0.00,24,88,11.67,6,0.02,25,95,12.98,0,0.00,9,15,1.89,1,0.00
Pasadena,"ASEM - Achievement in a Science, Engineering, or Mathematics               ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,141,23.78,5,0.01,,,,,,82,343,52.66,2,0.00,119,474,75.02,7,0.07,,,,,,91,359,54.32,10,0.20,53,69,11.49,1,0.11,166,597,95.12,16,0.29,41,52,8.17,2,0.08,71,253,43.20,0,0.00,70,107,17.35,4,0.03,86,289,49.84,0,0.00,61,78,10.98,0,0.00,51,166,31.04,0,0.00,36,44,8.32,0,0.00,55,187,33.53,0,0.00,20,27,3.84,0,0.00,63,219,40.70,6,0.03,42,55,9.52,0,0.00,59,191,36.21,0,0.00,,,,,,101,342,56.91,0,0.00,,,,,,99,341,54.76,0,0.00,,,,,,60,209,36.75,5,0.02,92,320,55.56,16,0.14,,,,,,46,160,25.45,10,0.04,15,49,8.77,0,0.00,,,,,
Pasadena,CAFYES - Cooperating Agencies Foster Youth Educational Support             ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,290,36.02,4,0.02,,,,,,76,242,31.22,0,0.00,37,51,6.20,0,0.00,85,273,36.81,0,0.00,,,,,,74,232,33.03,0,0.00,32,42,5.77,0,0.00,87,289,36.14,6,0.03,,,,,,77,257,32.83,0,0.00,40,56,6.63,0,0.00,74,224,30.84,0,0.00,1,1,0.10,0,0.00,51,140,19.12,0,0.00,,,,,,52,163,20.11,3,0.03,49,135,17.19,2,0.00,,,,,,97,269,34.41,7,0.01,87,251,35.47,0,0.00,,,,,
Pasadena,CalWORKs - California Work Opportunity & Responsibility to Kids            ,250,673,91.51,53,3.92,247,754,91.43,61,5.16,123,208,25.80,28,1.37,181,598,76.61,10,0.73,202,683,89.49,42,3.35,129,246,31.63,30,1.17,201,559,74.00,124,9.75,191,528,72.45,122,8.78,128,183,24.13,51,3.77,175,474,67.19,89,5.87,165,459,62.07,102,7.40,121,182,22.54,52,5.06,182,508,69.51,66,4.46,89,107,13.52,14,1.32,168,447,61.56,100,5.44,83,100,12.15,23,1.46,187,541,70.85,72,4.84,94,111,14.07,18,0.84,159,480,64.46,38,3.53,65,89,11.24,1,0.01,130,366,47.98,31,1.88,75,95,10.75,6,0.12,121,347,47.36,33,2.40,52,73,8.85,0,0.00,121,377,48.41,31,1.85,81,97,11.06,3,0.20,113,327,41.19,25,1.15,36,55,8.36,1,0.16,70,217,27.85,4,0.37,33,40,5.13,2,0.13,50,169,21.90,1,0.13,35,40,5.62,10,0.85,58,179,22.31,24,1.15,65,194,24.31,29,2.66,55,91,10.82,14,1.33,117,322,42.16,51,3.35,111,270,35.21,72,7.09,107,126,15.97,87,8.97
Pasadena,CARE - Cooperative Agencies Resources for Education                        ,15,64,6.86,1,0.01,3,13,1.41,0,0.00,,,,,,2,6,0.76,0,0.00,3,14,1.66,0,0.00,9,17,2.63,1,0.02,12,44,6.43,2,0.08,8,37,4.68,7,0.06,,,,,,20,71,9.97,10,0.07,25,92,12.00,11,0.11,,,,,,8,31,4.30,2,0.03,,,,,,33,113,15.01,13,0.05,2,3,0.30,1,0.00,33,109,14.45,11,0.03,,,,,,27,96,12.68,0,0.00,,,,,,25,86,11.99,1,0.00,,,,,,23,90,11.93,0,0.00,4,5,0.57,0,0.00,13,44,5.35,4,0.06,,,,,,27,100,11.93,0,0.00,5,7,0.93,0,0.00,12,42,5.14,0,0.00,,,,,,18,64,8.31,0,0.00,3,5,0.58,2,0.00,14,40,5.50,0,0.00,11,37,4.78,0,0.00,6,13,1.46,0,0.00,11,43,4.67,0,0.00,13,48,5.84,0,0.00,6,11,1.40,0,0.00
Pasadena,DSPS - Disabled Students Programs & Services                               ,652,"1,852",238.16,23,2.47,615,"1,828",231.19,27,2.43,311,513,63.41,12,0.65,713,"2,113",263.73,5,0.43,655,"1,895",239.38,28,2.22,261,400,51.37,40,2.15,763,"2,146",285.23,187,5.89,719,"1,994",268.04,204,7.18,327,494,60.98,30,2.28,849,"2,484",322.09,156,6.82,747,"2,050",274.91,172,6.35,575,902,112.17,62,3.46,"1,129","3,211",415.72,252,10.19,236,294,36.22,17,1.23,836,"2,329",317.57,167,7.13,313,389,49.64,32,1.67,949,"2,715",358.31,163,6.31,256,304,37.95,39,2.14,903,"2,367",321.89,146,8.67,311,384,47.97,25,1.79,996,"2,676",368.37,141,8.26,316,362,45.56,29,0.43,901,"2,339",327.51,121,8.10,362,429,53.13,37,2.84,"1,063","2,962",393.57,257,10.13,352,419,52.21,39,2.94,808,"2,085",279.24,120,3.36,249,351,48.53,4,0.02,663,"1,866",256.50,17,1.41,331,452,62.59,7,0.35,878,"2,419",340.20,19,1.37,467,619,83.70,55,3.75,"1,077","2,968",392.73,212,9.87,717,"1,917",254.15,154,7.46,612,957,121.36,47,4.27,973,"2,704",365.28,204,7.94,"1,229","3,256",447.08,195,13.13,672,"1,082",141.15,90,6.48
Pasadena,Economically Disadvantaged                                                 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,686","10,156","1,333.42",323,22.79,"17,509","50,281","6,801.42","1,315",93.54,"7,852","10,296","1,321.72",292,5.67,"16,208","45,117","6,213.73","1,061",79.16,,,,,,,,,,,"7,837","10,520","1,295.54",363,18.94,"15,415","42,676","5,670.48",819,39.90,"8,109","12,010","1,579.99",37,3.70,"14,768","42,444","5,742.59",332,25.28,"7,578","10,677","1,412.42",458,25.02,"13,089","36,504","5,024.37",131,11.45,"8,165","11,556","1,498.74",591,41.91,"12,372","33,271","4,513.43","1,623",104.66,"10,576","28,252","3,778.09","1,533",95.64,"7,207","11,421","1,506.25","1,055",102.30,"12,960","34,267","4,603.05","2,702",166.17,"11,805","30,611","4,168.10","2,668",215.67,"8,002","13,030","1,702.56","1,843",150.96
Pasadena,EOPS - Extended Opportunity Programs & Services                            ,655,"2,646",349.06,2,0.12,414,"1,707",213.54,1,0.05,272,616,80.07,0,0.00,793,"2,847",375.14,2,0.08,535,"1,957",261.90,7,0.34,285,531,72.75,37,0.74,574,"2,109",287.53,145,2.46,642,"2,318",314.40,179,3.09,101,197,25.51,0,0.00,693,"2,685",348.03,58,0.84,643,"2,494",334.69,81,1.07,123,215,27.34,2,0.01,602,"2,260",305.34,59,0.61,,,,,,723,"2,633",361.52,69,0.80,206,307,39.06,7,0.19,651,"2,404",324.07,43,0.38,,,,,,748,"2,636",366.81,9,0.69,6,8,0.99,0,0.00,860,"3,093",430.08,26,1.37,,,,,,852,"3,123",437.50,5,0.29,3,3,0.31,0,0.00,913,"3,411",461.10,93,1.83,,,,,,739,"2,701",368.39,1,0.01,166,270,36.81,0,0.00,702,"2,629",369.61,0,0.00,,,,,,676,"2,381",339.04,0,0.00,127,192,26.29,2,0.01,701,"2,569",342.86,44,0.32,605,"2,214",305.98,51,0.26,181,371,49.43,4,0.12,623,"2,257",316.23,65,0.43,684,"2,559",359.80,16,0.86,280,603,78.45,13,0.30
Pasadena,First Generation                                                           ,,,,,,,,,,,,,,,,,,,,,"1,988","4,503",545.19,138,12.58,832,"1,395",176.05,91,3.61,"1,352","3,407",460.52,220,8.86,"1,166","3,055",410.45,184,6.82,531,835,111.28,27,1.63,898,"2,389",322.17,65,2.81,789,"2,028",279.87,66,2.16,366,577,77.23,11,0.54,636,"1,629",217.99,36,1.46,225,289,39.27,6,0.27,532,"1,323",179.28,39,0.93,200,253,32.73,7,0.14,420,"1,008",139.81,21,0.82,155,199,27.38,6,0.09,361,818,114.16,24,1.05,141,179,25.43,8,0.38,290,638,89.05,16,0.83,116,152,20.05,4,0.04,"9,732","26,209","3,583.92",428,32.40,"4,682","6,135",793.67,128,9.23,"10,608","29,881","3,901.38",725,34.42,"4,769","6,406",784.10,145,8.87,"9,527","25,925","3,414.54",263,9.17,"4,548","6,797",880.27,5,0.32,"7,782","21,947","2,957.96",46,3.61,"3,767","5,475",715.10,68,3.38,"6,461","17,532","2,405.53",16,0.99,"2,700","3,780",515.15,97,6.17,"4,844","12,147","1,675.96",248,12.57,"3,802","9,624","1,285.16",227,9.45,"2,143","3,416",455.85,75,5.77,"3,437","8,230","1,128.49",247,10.70,"2,765","6,541",911.67,205,14.03,"1,487","2,322",317.09,130,8.97
Pasadena,Formerly Incarcerated                                                      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,54,6.60,5,0.38,3,6,0.68,0,0.00,,,,,,,,,,,,,,,
Pasadena,Foster Youth                                                               ,367,"1,054",136.73,23,1.71,403,"1,261",156.85,10,1.21,2,2,0.27,0,0.00,79,248,30.80,0,0.00,120,402,49.43,1,0.01,67,123,16.03,4,0.14,144,487,57.88,16,0.12,116,368,46.12,18,1.02,55,97,11.82,0,0.00,131,424,53.59,18,0.21,122,370,46.42,11,0.16,60,103,12.87,0,0.00,107,327,41.64,9,0.09,50,63,7.95,0,0.00,184,562,71.43,9,0.04,79,118,13.75,3,0.06,169,515,67.39,8,0.02,74,101,13.43,4,0.02,142,424,55.95,0,0.00,77,108,13.09,1,0.08,138,392,55.48,1,0.00,82,101,12.84,0,0.00,140,391,55.95,4,0.39,75,99,13.12,0,0.00,132,396,50.76,9,0.07,81,106,13.03,0,0.00,148,442,57.55,1,0.01,87,123,15.47,0,0.00,149,445,57.81,0,0.00,72,103,12.54,0,0.00,118,333,43.42,0,0.00,48,71,9.12,0,0.00,89,248,31.80,4,0.03,72,185,23.76,2,0.00,56,88,11.29,0,0.00,145,387,49.38,7,0.01,121,321,45.17,1,0.01,76,138,17.78,0,0.00
Pasadena,Homeless                                                                   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,146,18.63,5,0.18,262,722,95.48,32,2.33,96,127,15.78,8,0.13,32,74,10.07,0,0.00,,,,,,,,,,,12,14,1.57,0,0.00,37,80,10.16,10,0.79,8,11,1.34,0,0.00,36,99,13.02,1,0.06,3,4,0.65,1,0.10,20,42,5.20,1,0.09,44,62,7.09,2,0.16,25,54,6.64,10,0.17,22,48,6.05,12,0.33,33,43,5.46,5,0.28,56,133,17.72,16,0.65,44,77,8.70,11,0.50,55,35,4.14,59,5.57
Pasadena,Incarcerated                                                               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0.65,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasadena,"MESA - Mathematics, Engineering, and Science Achievement                   ",,,,,,119,379,66.53,0,0.00,,,,,,,,,,,,,,,,125,227,39.00,5,0.02,,,,,,188,630,107.42,24,0.45,,,,,,49,169,29.32,1,0.00,186,589,102.10,7,0.26,,,,,,210,615,109.95,10,0.13,128,166,26.24,2,0.06,208,650,108.68,8,0.13,93,115,19.99,4,0.02,161,471,81.91,8,0.04,85,111,18.11,2,0.01,134,359,60.86,0,0.00,39,53,8.37,0,0.00,108,353,62.44,3,0.00,26,33,5.00,0,0.00,131,414,70.31,0,0.00,63,80,13.84,0,0.00,126,415,75.29,11,0.17,91,122,20.36,0,0.00,115,376,67.92,0,0.00,,,,,,121,410,71.83,0,0.00,,,,,,127,412,73.00,0,0.00,,,,,,89,320,51.84,18,0.13,120,384,63.27,24,0.37,17,39,6.35,0,0.00,111,373,65.61,24,0.23,119,409,71.51,13,0.67,21,49,8.20,3,0.00
Pasadena,"Military (Active Duty, Active Reserve, National Guard)                     ",,,,,,,,,,,,,,,,,,,,,6,13,1.57,0,0.00,9,15,2.03,0,0.00,25,87,11.73,1,0.01,31,100,14.43,0,0.00,18,35,4.61,0,0.00,41,135,18.63,1,0.02,30,107,14.26,0,0.00,24,39,4.94,0,0.00,25,71,9.79,0,0.00,13,18,2.34,0,0.00,25,66,10.32,1,0.00,10,13,2.12,0,0.00,27,71,10.71,0,0.00,18,25,3.52,0,0.00,33,90,12.52,1,0.01,19,22,3.33,0,0.00,39,112,16.13,0,0.00,25,35,4.84,0,0.00,45,136,18.97,0,0.00,25,35,4.59,0,0.00,58,196,26.12,1,0.01,26,37,5.08,0,0.00,44,146,20.66,0,0.00,29,48,6.81,0,0.00,48,165,23.04,0,0.00,25,36,4.91,0,0.00,41,138,19.25,0,0.00,17,21,3.05,1,0.00,27,75,10.58,0,0.00,36,94,12.72,0,0.00,22,36,5.27,0,0.00,40,119,17.26,0,0.00,39,124,18.14,0,0.00,32,66,9.31,1,0.00
Pasadena,Puente                                                                     ,29,150,12.68,0,0.00,28,126,13.43,0,0.00,,,,,,29,155,13.32,0,0.00,,,,,,,,,,,30,156,12.15,2,0.01,,,,,,,,,,,29,144,13.11,8,0.17,26,89,10.99,3,0.04,,,,,,30,142,14.39,6,0.12,,,,,,25,81,10.95,3,0.03,,,,,,28,136,12.74,5,0.02,11,17,1.72,0,0.00,33,109,14.36,0,0.00,,,,,,35,137,14.66,0,0.00,,,,,,35,122,16.16,0,0.00,,,,,,32,123,14.46,4,0.01,,,,,,30,114,14.53,0,0.00,,,,,,34,133,16.33,0,0.00,,,,,,30,108,14.27,0,0.00,,,,,,26,109,13.44,2,0.01,28,97,12.81,6,0.19,,,,,,27,117,13.88,1,0.00,31,123,17.27,0,0.00,,,,,
Pasadena,Received Services/Support through Basic Needs Center                       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,17,2.03,4,0.47,,,,,,,,,,,,,,,
Pasadena,Special Admit                                                              ,298,281,46.25,74,4.00,167,178,21.76,47,2.95,192,196,24.93,12,0.48,297,333,54.70,9,0.45,141,157,20.53,51,3.00,373,465,57.13,26,1.66,402,515,60.38,45,2.78,254,311,34.75,38,2.95,354,426,53.86,21,1.30,329,368,45.15,25,1.36,227,297,39.40,20,1.48,455,565,68.00,25,1.46,858,964,120.48,36,2.73,51,49,6.23,11,0.95,425,490,61.42,28,1.33,419,468,60.78,8,0.38,491,621,74.12,29,1.57,58,70,9.08,7,0.44,312,427,54.61,27,1.86,408,459,60.75,11,1.08,694,817,99.19,22,1.42,66,76,9.24,0,0.00,448,568,70.65,11,0.60,471,527,68.74,10,0.95,"1,081","1,268",144.35,25,1.60,162,178,15.27,6,0.53,632,799,101.24,15,0.99,466,535,67.60,2,0.01,"1,002","1,247",149.31,3,0.18,224,264,26.94,5,0.30,971,"1,173",140.51,1,0.10,702,821,103.90,10,0.37,"1,133","1,310",161.71,26,1.29,778,985,104.37,10,0.28,687,767,94.90,42,4.18,"1,369","1,651",193.63,11,1.04,"1,278","1,418",161.36,59,4.24,858,956,120.58,106,10.82
Pasadena,Umoja                                                                      ,,,,,,,,,,,,,,,,,,,,,,,,,,56,120,9.00,1,0.00,,,,,,,,,,,72,132,11.20,0,0.00,51,212,22.49,7,0.10,71,286,36.18,1,0.01,,,,,,136,539,62.64,6,0.01,68,95,12.35,0,0.00,120,421,53.46,6,0.01,45,61,7.16,1,0.00,131,532,59.24,4,0.04,65,106,12.17,3,0.07,,,,,,38,64,7.76,0,0.00,141,565,65.99,0,0.00,,,,,,,,,,,,,,,,156,583,68.84,9,0.43,87,136,15.66,3,0.18,131,467,55.53,2,0.02,77,125,13.46,0,0.00,125,482,59.08,0,0.00,2,4,0.62,0,0.00,,,,,,,,,,,,,,,,17,65,8.59,2,0.02,9,15,2.00,0,0.00,40,158,18.52,4,0.00,42,142,18.69,0,0.00,10,24,3.17,0,0.00
Pasadena,Veteran                                                                    ,654,"1,861",255.11,99,8.58,654,"1,837",249.22,85,6.02,194,430,57.88,0,0.00,629,"1,991",270.20,10,0.54,631,"1,947",273.38,35,3.03,395,707,97.73,35,1.59,581,"1,687",241.96,72,2.21,519,"1,542",222.39,62,2.19,327,560,75.17,8,0.26,497,"1,507",213.95,35,2.17,478,"1,397",203.53,44,1.52,306,514,76.18,7,0.40,445,"1,380",192.60,27,0.84,265,335,47.94,1,0.12,456,"1,352",192.82,31,1.07,241,323,43.85,8,0.41,409,"1,229",172.74,30,1.70,247,317,43.89,9,0.39,396,"1,135",163.83,18,0.91,233,292,42.08,5,0.50,379,"1,056",154.57,11,0.45,214,263,35.87,1,0.01,359,994,147.35,16,0.87,203,258,36.82,3,0.28,355,"1,050",146.59,36,2.01,231,301,39.19,7,0.53,355,"1,055",146.61,19,0.60,211,314,44.71,1,0.20,326,"1,042",144.33,2,0.28,205,287,40.92,5,0.17,299,940,132.66,3,0.20,159,212,32.00,7,0.40,277,853,114.71,36,1.18,253,776,106.41,20,0.58,160,260,37.65,9,0.95,246,706,100.02,21,1.50,233,659,93.94,29,2.10,174,299,42.59,18,1.07
Pasadena,Work-based Learning Participant                                            ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773,"3,060",425.91,5,0.12,179,243,42.11,1,0.00,,,,,,,,,,,,,,,,210,290,52.18,48,2.47,806,"2,609",394.39,0,0.00,167,293,58.35,0,0.00,"1,125","3,661",577.04,0,0.00,168,159,42.87,29,1.42,"2,888","9,426","1,345.52",1,0.01,236,379,82.04,3,0.21,"2,442","7,985","1,160.06",104,2.30,"2,058","6,968","1,007.17",126,2.19,644,"1,168",206.56,0,0.00,38,135,23.58,4,0.02,"1,204","4,138",609.10,13,0.68,676,"1,294",233.81,8,0.02
